loanID,origChannel,sellerName,origIntRate,orgUPB,orgLoanTerm,orginationDate,firstPaymentDate,orgLTV,orgCombinedLTV,numBorrowers,orgDebttoIncomeRatio,borrowerCreditScoreAtOrigination,firstTimeHomeBuyer,loanPurpose,propType,numUnits,occType,propertyState,zipCodeShort,priMortgageInsurancePercent,prodType,coBorrowerCreditScoreAtOrigination,mortInsType,reloMortIndicator
109488757385,R,OTHER,8.625,100000,360,03/2000,05/2000,80,,2,39,676,Y,P,SF,1,P,MA,019,,FRM,679,,N
109499038443,C,BANK OF AMERICA  N.A.,7.875,211000,360,01/2000,03/2000,95,,3,43,,N,P,SF,1,P,HI,967,30,FRM,651,1,N
109506731804,R,GMAC MORTGAGE  LLC,7.625,99000,360,11/1999,01/2000,75,,1,,779,N,P,SF,1,P,MD,210,,FRM,,,N
109520319401,B,JPMORGAN CHASE BANK  NA,8.375,113000,360,11/1999,01/2000,90,,2,33,755,N,P,SF,1,S,NY,119,25,FRM,,1,N
109523515919,C,SUNTRUST MORTGAGE INC.,7.375,235000,360,11/1999,01/2000,80,,2,40,683,N,P,CO,1,P,CA,928,,FRM,692,,N
109524484873,B,FLAGSTAR BANK  FSB,9.25,112000,360,02/2000,04/2000,80,,2,46,722,N,C,SF,1,I,MI,481,,FRM,693,,N
109526015507,C,CITIMORTGAGE  INC.,7.875,99000,360,12/1999,02/2000,74,,2,45,753,N,P,SF,1,P,WI,541,,FRM,717,,N
109532868411,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,8.125,118000,360,01/2000,03/2000,80,,2,33,633,N,C,SF,1,P,OR,975,,FRM,680,,N
109535851567,R,OTHER,7.875,104000,360,01/2000,03/2000,95,,1,39,746,N,P,SF,1,P,WI,531,30,FRM,,1,N
109537099802,B,JPMORGAN CHASE BANK  NA,8.375,159000,360,10/1999,12/1999,97,,1,33,,Y,P,SF,1,P,VA,220,35,FRM,,1,N
109541096992,R,BANK OF AMERICA  N.A.,6.5,33000,360,11/1999,01/2000,97,,1,34,639,Y,P,SF,1,P,TX,766,35,FRM,,1,N
109542868964,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,8.375,140000,360,02/2000,04/2000,89,,2,21,784,N,P,SF,1,S,DE,199,25,FRM,787,1,N
109545339110,R,OTHER,8.5,92000,360,01/2000,03/2000,90,,1,26,665,Y,P,SF,1,P,MI,490,17,FRM,,1,N
109559232917,R,OTHER,8.25,50000,120,02/2000,04/2000,43,,2,20,791,N,C,SF,1,P,NH,034,,FRM,760,,N
109563729694,C,SUNTRUST MORTGAGE INC.,8,130000,360,12/1999,02/2000,80,,2,45,725,N,P,SF,1,P,NY,144,,FRM,724,,N
109582778498,C,AMTRUST BANK,7.875,163000,360,08/1999,10/1999,90,,2,34,712,N,P,SF,1,P,OH,441,25,FRM,730,1,N
109586227964,C,OTHER,8.25,163000,360,12/1999,02/2000,90,,2,62,766,Y,P,PU,1,P,TX,774,17,FRM,772,1,N
109594259598,B,JPMORGAN CHASE BANK  NA,8.125,111000,360,01/2000,03/2000,97,,1,43,616,N,P,PU,1,P,NC,284,18,FRM,,1,N
109598586250,R,JPMORGAN CHASE BANK  NA,7.875,148000,360,12/1999,02/2000,80,,2,31,773,Y,P,SF,1,P,CO,801,,FRM,,,N
109610886022,B,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,7.625,131000,360,01/2000,03/2000,69,,1,25,739,N,C,SF,1,P,ME,041,,FRM,,,N
109614816930,B,OTHER,6.17,85000,360,12/1999,02/2000,80,,1,32,736,N,P,SF,1,P,FL,322,,FRM,,,N
109627472494,B,OLD KENT MORTGAGE COMPANY,7.875,60000,180,01/2000,03/2000,86,,2,30,679,N,P,SF,1,P,TN,371,25,FRM,673,1,N
109633959782,C,NETBANK FUNDING SERVICES,7.625,197000,360,01/2000,03/2000,80,,2,36,760,N,P,SF,1,P,OH,430,,FRM,780,,N
109636788015,R,GMAC MORTGAGE  LLC,8,183000,360,12/1999,02/2000,78,,2,17,550,N,R,SF,1,P,CA,950,,FRM,,,N
109645143049,B,CITIMORTGAGE  INC.,7.875,80000,360,10/1999,12/1999,89,,2,32,770,N,P,CO,1,P,IL,606,25,FRM,766,1,N
109650987597,B,OTHER,8.125,208000,360,12/1999,02/2000,90,,1,37,674,Y,P,CO,1,P,CA,917,25,FRM,,1,N
109662401363,C,SUNTRUST MORTGAGE INC.,7.75,98000,360,12/1999,02/2000,75,,2,23,763,N,P,SF,1,P,VA,245,,FRM,769,,N
109662471167,C,OTHER,8.5,74000,360,02/2000,04/2000,80,,2,40,638,N,C,SF,1,P,GA,313,,FRM,680,,N
109683877510,R,OTHER,8.625,105000,360,01/2000,03/2000,44,,1,27,690,Y,P,SF,1,P,MI,492,,FRM,,,N
109685987441,R,OTHER,8.5,74000,360,02/2000,04/2000,76,,2,32,,Y,P,SF,1,P,CA,953,,FRM,,,N
109689553942,R,JP MORGAN CHASE BANK  NA,8.1,34000,360,11/1999,01/2000,73,,1,40,659,N,C,SF,1,P,WI,541,,FRM,,,N
109697239956,C,JPMORGAN CHASE BANK  NA,7.625,140000,360,12/1999,02/2000,80,,2,42,743,Y,P,PU,1,P,TX,787,,FRM,782,,N
109702941608,R,GMAC MORTGAGE  LLC,7.875,175000,360,12/1999,02/2000,67,,2,,752,N,P,SF,1,P,IL,600,,FRM,744,,N
109712767654,B,OTHER,8.25,64000,360,12/1999,02/2000,39,,2,37,802,N,R,PU,1,P,CA,928,,FRM,795,,N
109714368702,R,OTHER,8.25,160000,360,02/2000,04/2000,70,,1,46,626,N,P,PU,1,P,FL,334,,FRM,,,N
109719327401,R,OTHER,6.875,129000,180,01/2000,03/2000,58,,2,27,741,N,P,PU,1,P,IN,463,,FRM,726,,N
109725734479,C,NETBANK FUNDING SERVICES,7.875,141000,240,12/1999,02/2000,75,,2,42,762,N,R,SF,1,P,KS,666,,FRM,744,,N
109729357254,R,JPMORGAN CHASE BANK  NA,8.25,72000,360,01/2000,03/2000,63,,2,33,576,N,C,SF,1,P,GA,301,,FRM,,,N
